system_code,line_number,nominal_size,fluid_code,pipe_class,insulation_code,insulation_thickness,tracing,from,to,service,flow_medium,liquid_flow_bpd,water_flow_bwpd,gas_flow_mmscfd,viscosity_cp,molecular_weight,density_kg_m3,operating_pressure_min,operating_pressure_max,operating_temperature_min,operating_temperature_max,design_pressure_min,design_pressure_max,design_temperature_min,design_temperature_max,test_pressure,test_medium,design_code,schedule_wall_thickness,stress_relief,nace_mr0175,ndt_rt_pct,ndt_dpi_pct,ndt_mpi_pct,pwht,pnid_references,remarks
31,"6""-DW-28-31-0301-B95-N","6""",DW,B95,N,,,"HELI DECK,UPPER DECK",TO SEA,Deck Drain / Deluge Drain,,,,,,,,,0,,,,,,,,,,,,,,,,,AD-28-D-100003-SHT-001,
31,"6""-DW-28-31-0302-B95-N","6""",DW,B95,N,,,"UPPER DECK,CELLAR DECK,4""-DW-28-31-0301-B06S-N",TO SEA,Deck Drain / Deluge Drain,,,,,,,,,0,,,,,,,,,,,,,,,,,AD-28-D-100003-SHT-001,
12,"6""-H-28-12-0120-J85S-P","6""",H,J85S,P,,,AF9 WELLHEAD,"HCV-281040.B,2""-H-28-12-0125-J26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100005-SHT-001,
12,"6""-H-28-12-0121-J85S-P","6""",H,J85S,P,,,"8""-H-28-12-0120-J85S-P","8""-H-28-12-0122-J26S-P,8""-H-28-12-0123-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,602,Water,,,,,,100,,No,AD-28-D-100005-SHT-001,
12,"6""-H-28-12-0221-J85S-P","6""",H,J85S,P,,,"8""-H-28-12-0220-J85S-P","8""-H-28-12-0222-J26S-P,8""-H-28-12-0223-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100006-SHT-001,
12,"6""-H-28-12-0323-J26S-N","6""",H,J26S,N,,,"14""-H-28-12-0321-J26S-P","GP-2802,N1",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"6""-H-28-12-0328-J26S-P","6""",H,J26S,P,,,HCV-281040.A,"14""-H-28-12-0320-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100001-SHT-001,
22,"6""-V-28-22-0104-B06S-N","6""",V,B06S,N,,,"3""-V-28-22-0103-B16-N",TO ATM,Vent,,,,,,,,,0,,,,3.5,-46,70,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"6""-V-28-22-0105-B06S-N","6""",V,B06S,N,,,"GP-2801,PSV-281010","4""-V-28-22-0105-B16-N,ATM",Vent,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"6""-V-28-22-0301-B03-N","6""",V,B03,N,,,"Q-2803,V",TO ATM,Vent,,,,,,,,,0,8,40,,3.5,-25,55,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
12,"8""-H-28-12-0102-J16-P","8""",H,J16,P,,,AF-4 WELLHEAD,"8""-H-28-12-0328-J26S-P,2""H-28-12-0109-J16-N,2""-DH-28-31-0104-B03-N",Process Fluid,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"8""-H-28-12-0102-J26S-P","8""",H,J26S,P,,,WV-289930-A,HCV-281040-A,Process Fluid,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"8""-H-28-12-0103-J16-P","8""",H,J16,P,,,"8""-H-28-12-0328-J26S-P","8""-H-28-12-0104-J16-P",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"8""-H-28-12-0104-J16-P","8""",H,J16,P,,,"8""-H-28-12-0103-J16-P,8""-H-28-12-0223-J26S-P",HEADER,Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"8""-H-28-12-0105-J16-P","8""",H,J16,P,,,"8""-H-28-12-0104-J16-P","8""-H-28-18-0101-J20-N,3""-V-28-22-0101-B16-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"8""-H-28-12-0120-J85S-P","8""",H,J85S,P,,,AF9 WELLHEAD,"HCV-281040.B,2""-H-28-12-0125-J26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100005-SHT-001,
